disID,Symptom
527439,lump in the breast
527439,thickening in the breast
527439,lump in the underarm area
527439,thickening in the underarm area
527439,changes in breast size
527439,changes in breast shape
527439,nipple discharge
527439,nipple inversion
527439,skin changes on the breast
527439,skin changes on the nipple
527439,pain in the breast
250508,persistent cough
250508,pain in the chest
250508,shortness of breath
250508,fatigue
250508,unexplained weight loss
940981,difficulty urinating
940981,weak or interrupted urine flow
940981,blood in the urine
940981,blood in the semen
940981,erectile dysfunction
940981,pain or discomfort in the pelvic area
442321,blood in the stool
442321,rectal bleeding
442321,changes in bowel habits
442321,abdominal pain or cramping
442321,weakness or fatigue
442321,unexplained weight loss
383330,changes in the size of a mole
383330,changes in the size of a skin lesion
383330,changes in the shape of a mole
383330,changes in the shape of a skin lesion
383330,changes in the color of a mole
383330,changes in the color of a skin lesion
383330,a sore that does not heal
383330,redness around a skin lesion
383330,swelling around a skin lesion
383330,itching in the affected area
383330,tenderness in the affected area
383330,pain in the affected area
383330,changes in sensation such as tingling or numbness
498144,blood in urine
498144,painful urination
498144,frequent urination
498144,lower back pain
498144,fatigue
233493,blood in urine
233493,pain in the flank
233493,abdominal mass or swelling
233493,fatigue
233493,unexplained weight loss
629127,abdominal pain or discomfort
629127,jaundice
629127,unexplained weight loss
629127,fatigue
629127,loss of appetite
344515,abdominal bloating
344515,abdominal swelling
344515,pain in the pelvic
344515,pelvic pressure
344515,feeling full quickly
344515,difficulty eating
344515,changes in bowel habits
344515,urinary frequency
344515,urinary urgency
960107,fatigue
960107,weakness
960107,pale skin
960107,frequent infections
960107,unexplained weight loss
960107,easy bruising
960107,easy bleeding
998156,swollen lymph nodes in the neck
998156,swollen lymph nodes in the armpit
998156,swollen lymph nodes in the groin
998156,fatigue
998156,weakness
998156,weight loss
998156,night sweats
998156,itching
563781,pain in the abdominal
563781,abdominal discomfort
563781,jaundice
563781,weight loss
563781,fatigue
563781,loss of appetite
439970,pain in the bone
439970,bone tenderness
439970,swelling in the affected area
439970,lump in the affected area
439970,fractures
439970,fatigue
439970,weight loss
968279,lump in the neck
968279,swelling in the neck
968279,hoarseness
968279,difficulty speaking
968279,pain in the neck
968279,discomfort in the neck
968279,difficulty swallowing
968279,changes in voice
968279,changes in breathing
188788,difficulty swallowing
188788,pain in the chest
188788,discomfort in the chest
188788,acid reflux
188788,heartburn
188788,weight loss
188788,hoarseness
188788,coughing
533402,pain in the abdominal
533402,nausea and vomiting
533402,loss of appetite
533402,feeling full quickly
533402,weight loss
533402,fatigue
660124,abnormal vaginal bleeding
660124,pain during sex
660124,unusual vaginal discharge
660124,pain in the pelvic
660124,pelvic discomfort
660124,fatigue
371563,numbness in the limbs
371563,tingling in the limbs
371563,muscle weakness
371563,muscle spasms
371563,vision problems
371563,fatigue
371563,difficulty with balance
371563,difficulty with coordination
632397,seizures
632397,confusion
632397,loss of consciousness
632397,unexplained staring
632397,muscle twitching
632397,jerking
632397,nausea
632397,bvomiting
127708,intense headache pain
127708,pain on one side of the head
127708,sensitivity to light
127708,sensitivity to sound
127708,sensitivity to smells
127708,nausea
127708,vomiting
127708,visual disturbances
127708,flashing lights
127708,blind spots
127708,tingling
127708,numbness in the face
127708,numbness in the limbs
715642,muscle weakness
715642,atrophy
715642,difficulty with speech
715642,difficulty with swallowing
715642,muscle cramps
715642,twitching
715642,fatigue
715642,difficulty with motor tasks
388792,involuntary movements
388792,difficulty with balance
388792,difficulty with balance coordination
388792,cognitive decline
388792,memory loss
388792,difficulty with decision making
388792,mood changes
388792,speech difficulties
560957,muscle stiffness
560957,muscle spasticity
560957,difficulty with coordination
560957,difficulty with balance
560957,difficulty with fine motor tasks
560957,speech difficulties
560957,intellectual disability
981016,involuntary movements
981016,vocalizations
981016,repetitive behaviors
981016,difficulty with impulse control
981016,difficulty with social interactions
869182,difficulty with social interactions
869182,difficulty with communication
869182,repetitive behaviors
869182,repetitive routines
869182,sensory sensitivities
869182,difficulty with changes
869182,difficulty with imaginative play
869182,difficulty with creativity
212491,hallucinations
212491,delusions
212491,disorganized speech
212491,disorganized behavior
212491,reduced emotional expression
212491,reduced of motivation
212491,social withdrawal
212491,difficulty with concentration
212491,difficulty with memory
219916,memory loss
219916,difficulty with impulse control
219916,difficulty with decision making
219916,mood changes
219916,difficulty with balance
219916,difficulty with coordination
219916,cognitive decline
692766,tingling in the limbs
692766,numbness in the limbs
692766,muscle weakness
692766,atrophy
692766,pain in the affected area
692766,burning sensations in the affected area
692766,difficulty with balance
692766,difficulty with coordination
692766,digestive issues
465626,memory loss of recent events
465626,difficulty with problem-solving
465626,difficulty with reasoning
465626,difficulty with language
465626,difficulty with communication
465626,confusion
465626,disorientation
465626,mood changes
847007,tremors in the hands
847007,tremors in the arms
847007,shaking in the hands
847007,shaking in the arms
847007,muscle stiffness
847007,muscle rigidity
847007,difficulty with balance
847007,difficulty with coordination
847007,slow movement
847007,difficulty with initiating movement
337701,memory loss
337701,forgetting recent events
337701,forgetting important dates
337701,forgetting information that was once well-known
337701,difficulty with language
337701,struggling to find the right words
337701,repeating oneself
337701,having trouble following a conversation
337701,impaired judgement
337701,impaired decision-making
337701,losing the ability to reason
337701,losing the ability problem-solve
337701,showing a lack of judgement
337701,confusion
337701,disorientation
337701,changes in mood
337701,changes in behavior
996093,sudden weakness
996093,numbness in the face
996093,numbness in the arm
996093,numbness in the leg
996093,difficulty to speak
996093,difficulty to understanding speech
996093,trouble seeing
996093,severe headache
996093,dizziness
996093,loss of balance
996093,loss of coordination
541895,pain in the chest
541895,angina
541895,shortness of breath
541895,weakness in limbs
541895,numbness in limbs
541895,erectile dysfunction
541895,coldness in extremities
541895,numbness in extremities
111325,pain in the chest
111325,angina
111325,shortness of breath
111325,weakness in limbs
111325,numbness in limbs
111325,nausea
111325,vomiting
464697,pain in legs
464697,pain in arms
464697,cramping in legs
464697,cramping in arms
464697,numbness in legs
464697,numbness in arms
464697,weakness in limbs
464697,sores that wont heal
464697,wounds that wont heal
464697,coldness in extremities
464697,numbness in extremities
464697,change in skin color
698688,constant pain in the abdomen
698688,constant pain in the chest
698688,constant pain in the back
698688,constant pain in the pelvis
698688,shortness of breath
698688,hoarseness
698688,cough
698688,swelling in legs
698688,swelling in arms
233971,numbness in the fingers
233971,numbness in the toes
233971,tingling in the fingers
233971,tingling in the toes
233971,coldness in the affected areas
233971,color changes in the skin
233971,pain in the affected areas
233971,throbbing in the affected areas
233971,difficulty with fine motor tasks in the affected area
668019,swelling in the affected limb
668019,pain in the affected limb
668019,tenderness in the affected limb
668019,warmth in the affected limb
668019,redness in the affected limb
668019,skin discoloration
668019,skin peeling
668019,visible veins
815251,shortness of breath
815251,pain in the chest
815251,discomfort with deep breathing
815251,discomfort with coughing
815251,cough
815251,cough with bloody sputum
815251,rapid heartbeat
815251,irregular heartbeat
815251,lightheadedness
815251,fainting
885933,swollen veins
885933,twisted veins
885933,enlarged veins
885933,veins are visible through the skin
885933,heavy feeling in the legs
885933,throbbing in the legs
885933,burning in the legs
885933,cramping in the legs
885933,itching around the affected veins
885933,skin discoloration around the affected veins
885933,dryness around the affected veins
538470,headache
538470,seizures
538470,weakness in the limbs
538470,numbness in the limbs
538470,problems with vision
538470,problems with vision speech
538470,difficulty with fine motor tasks
736882,pain in the feet
736882,tenderness in the feet
736882,pain in the hands
736882,tenderness in the hands
736882,coldness in the affected areas
736882,sores that won't heal
736882,swelling in the affected areas
736882,changes in skin color in the affected areas
567366,pain in the chest
567366,chest discomfort
567366,shortness of breath
567366,fatigue
567366,irregular heartbeat
567366,swelling in legs
567366,swelling in ankles
567366,swelling in feet
818426,severe pain in the chest
818426,severe pain in the upper back
818426,shortness of breath
818426,sweating
818426,weakness on one side of the body
818426,paralysis on one side of the body
818426,hoarseness
818426,trouble speaking
919180,weakness in the face
919180,weakness in the arm on one side of the body
919180,weakness in the leg on one side of the body
919180,numbness in the face on one side of the body
919180,numbness in the arm on one side of the body
919180,numbness in the leg on one side of the body
919180,difficulty speaking
919180,difficulty understanding speech
919180,severe headache
919180,dizzines
